command	main	sub
d3	Core	base
d3.select	Core	Selections
d3.selectAll	Core	Selections
selection.attr	Core	Selections
selection.classed	Core	Selections
selection.style	Core	Selections
selection.property	Core	Selections
selection.text	Core	Selections
selection.html	Core	Selections
selection.append	Core	Selections
selection.insert	Core	Selections
selection.remove	Core	Selections
selection.data	Core	Selections
selection.enter	Core	Selections
selection.exit	Core	Selections
selection.datum	Core	Selections
selection.filter	Core	Selections
selection.sort	Core	Selections
selection.order	Core	Selections
selection.on	Core	Selections
selection.transition	Core	Selections
selection.interrupt	Core	Selections
selection.each	Core	Selections
selection.call	Core	Selections
selection.empty	Core	Selections
selection.node	Core	Selections
selection.size	Core	Selections
selection.select	Core	Selections
selection.selectAll	Core	Selections
d3.selection	Core	Selections
d3.event	Core	Selections
d3.mouse	Core	Selections
d3.touch	Core	Selections
d3.touches	Core	Selections
d3.transition	Core	Transitions
transition.delay	Core	Transitions
transition.duration	Core	Transitions
transition.ease	Core	Transitions
transition.attr	Core	Transitions
transition.attrTween	Core	Transitions
transition.style	Core	Transitions
transition.styleTween	Core	Transitions
transition.text	Core	Transitions
transition.tween	Core	Transitions
transition.select	Core	Transitions
transition.selectAll	Core	Transitions
transition.filter	Core	Transitions
transition.transition	Core	Transitions
transition.remove	Core	Transitions
transition.empty	Core	Transitions
transition.node	Core	Transitions
transition.size	Core	Transitions
transition.each	Core	Transitions
transition.call	Core	Transitions
d3.ease	Core	Transitions
ease	Core	Transitions
d3.timer	Core	Transitions
d3.timer.flush	Core	Transitions
d3.interpolate	Core	Transitions
interpolate	Core	Transitions
d3.interpolateNumber	Core	Transitions
d3.interpolateRound	Core	Transitions
d3.interpolateString	Core	Transitions
d3.interpolateRgb	Core	Transitions
d3.interpolateHsl	Core	Transitions
d3.interpolateLab	Core	Transitions
d3.interpolateHcl	Core	Transitions
d3.interpolateArray	Core	Transitions
d3.interpolateObject	Core	Transitions
d3.interpolateTransform	Core	Transitions
d3.interpolateZoom	Core	Transitions
d3.interpolators	Core	Transitions
d3.ascending	Core	Working with Arrays
d3.descending	Core	Working with Arrays
d3.min	Core	Working with Arrays
d3.max	Core	Working with Arrays
d3.extent	Core	Working with Arrays
d3.sum	Core	Working with Arrays
d3.mean	Core	Working with Arrays
d3.median	Core	Working with Arrays
d3.quantile	Core	Working with Arrays
d3.bisect	Core	Working with Arrays
d3.bisectRight	Core	Working with Arrays
d3.bisectLeft	Core	Working with Arrays
d3.bisector	Core	Working with Arrays
d3.shuffle	Core	Working with Arrays
d3.permute	Core	Working with Arrays
d3.zip	Core	Working with Arrays
d3.transpose	Core	Working with Arrays
d3.pairs	Core	Working with Arrays
d3.keys	Core	Working with Arrays
d3.values	Core	Working with Arrays
d3.entries	Core	Working with Arrays
d3.merge	Core	Working with Arrays
d3.range	Core	Working with Arrays
d3.nest	Core	Working with Arrays
nest.key	Core	Working with Arrays
nest.sortKeys	Core	Working with Arrays
nest.sortValues	Core	Working with Arrays
nest.rollup	Core	Working with Arrays
nest.map	Core	Working with Arrays
nest.entries	Core	Working with Arrays
d3.map	Core	Working with Arrays
map.has	Core	Working with Arrays
map.get	Core	Working with Arrays
map.set	Core	Working with Arrays
map.remove	Core	Working with Arrays
map.keys	Core	Working with Arrays
map.values	Core	Working with Arrays
map.entries	Core	Working with Arrays
map.forEach	Core	Working with Arrays
map.empty	Core	Working with Arrays
map.size	Core	Working with Arrays
d3.set	Core	Working with Arrays
set.has	Core	Working with Arrays
set.add	Core	Working with Arrays
set.remove	Core	Working with Arrays
set.values	Core	Working with Arrays
set.forEach	Core	Working with Arrays
set.empty	Core	Working with Arrays
set.size	Core	Working with Arrays
d3.random.normal	Core	Math
d3.random.logNormal	Core	Math
d3.random.bates	Core	Math
